2017-08-15 22:51:39.924 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.imooc.sell.service.ProductCategoryServiceImplTest]: ProductCategoryServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-08-15 22:51:39.929 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.imooc.sell.SellApplication for test class com.imooc.sell.service.ProductCategoryServiceImplTest
2017-08-15 22:51:39.934 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-08-15 22:51:39.938 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@28975c28, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3943a2be, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@343570b7, org.springframework.test.context.support.DirtiesContextTestExecutionListener@157853da, org.springframework.test.context.transaction.TransactionalTestExecutionListener@71c3b41, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@236e3f4e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3cc1435c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6bf0219d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@dd0c991, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5f16132a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@69fb6037, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@36d585c]
2017-08-15 22:51:39.941 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.imooc.sell.service.ProductInfoServiceImplTest], using SpringBootContextLoader
2017-08-15 22:51:39.943 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.imooc.sell.service.ProductInfoServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-08-15 22:51:39.943 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.imooc.sell.service.ProductInfoServiceImplTest]: ProductInfoServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-08-15 22:51:39.948 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.imooc.sell.SellApplication for test class com.imooc.sell.service.ProductInfoServiceImplTest
2017-08-15 22:51:39.953 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-08-15 22:51:39.957 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7690781, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@77eca502, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3246fb96, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2e222612, org.springframework.test.context.transaction.TransactionalTestExecutionListener@61386958, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@73ee04c8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7671cb68, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@49dc7102, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6b8ca3c8, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@68c72235, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@10959ece, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3a6bb9bf]
2017-08-15 22:51:39.960 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.imooc.sell.service.SellerInfoServiceImplTest], using SpringBootContextLoader
2017-08-15 22:51:39.961 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.imooc.sell.service.SellerInfoServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-08-15 22:51:39.961 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.imooc.sell.service.SellerInfoServiceImplTest]: SellerInfoServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-08-15 22:51:39.966 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.imooc.sell.SellApplication for test class com.imooc.sell.service.SellerInfoServiceImplTest
